Time;U_t;V_t
2.305;0.11399935568559834;-7.6091775725628406
2.31;0.07540675535154834;-7.8116278223334845
2.315;0.036046859826816775;-7.915848637674412
2.32;-0.003586511443829083;-7.920980391755204
2.325;-0.04299835353547273;-7.827400732651701
2.33;-0.08169861041117446;-7.636716317921518
2.335;-0.11920829072242667;-7.3517360836010335
2.34;-0.15506536823271724;-6.9764314400533465
2.345;-0.18883047054714375;-6.515881375168528
2.35;-0.22009224943382105;-5.9762043094119575
2.355;-0.24847238112101672;-5.3644772155899965
2.36;-0.2736301332197748;-4.688643159874264
2.365;-0.2952664412895815;-3.9574084855757574
2.37;-0.31312744959491867;-3.1801309271215175
2.375;-0.32700747191284674;-2.3667001169312694
2.38;-0.336751339377982;-1.5274119952930476
2.3850000000000002;-0.34225610820913516;-0.6728387283008679
2.39;-0.34347210955032326;0.18630426311290188
2.395;-0.3404033303665683;1.0392924930451741
2.4;-0.33310712391993585;1.8755258961309982
2.4050000000000002;-0.3216932574153515;2.68466051336635
2.41;-0.3063223117255337;3.4567361954703664
2.415;-0.28720345176933;4.182298919999553
2.42;-0.264591605210555;4.852516374445448
2.4250000000000003;-0.23878408180100077;5.459285211682047
2.43;-0.21011667996204697;5.995328757949704
2.435;-0.17895933067415462;6.454283973160806
2.44;-0.14571133705420605;6.830776662371123
2.445;-0.11079626809927151;7.120484025229501
2.45;-0.07465657309758209;7.320183818254287
2.455;-0.03774798476575589;7.427789588983914
2.46;-0.0005337818763677428;7.4423716015885955
2.465;0.03652101620189051;7.364163259449799
2.47;0.07295545113450377;7.194553015582812
2.475;0.10831835066342965;6.936061913521725
2.48;0.14217390624637266;6.592307136699857
2.485;0.17410703390580656;6.1679519881235585
2.49;0.20372845354571448;5.668643217840957
2.495;0.23067942418367765;5.100936225421362
2.5;0.2546360768308786;4.472209325064393
2.505;0.2753132937094071;3.790568167740196
2.5100000000000002;0.2924680889015799;3.064741510657884
2.515;0.3059024467787198;2.3039696649876125
2.52;0.3154655878740644;1.5178870917639042
2.525;0.3210556380622693;0.7164006181660685
2.5300000000000002;0.3226206791075743;-0.0904352156688385
2.535;0.32015917052140713;-0.8925440938259595
2.54;0.31371974978351985;-1.6799535370819292
2.545;0.3034003952251849;-2.4429187262643772
2.5500000000000003;0.28934699004016956;-3.172042870511999
2.555;0.27175128894203154;-3.8583927384894383
2.56;0.2508483247738689;-4.493607893009712
2.565;0.22691328732880345;-5.070002291095247
2.57;0.20025791526191358;-5.5806570422731365
2.575;0.17122644921065397;-6.019503186048952
2.58;0.14019119773852748;-6.381393512498586
2.585;0.10754777326593924;-6.66216256444739
2.59;0.07371005970936657;-6.858674186864465
2.595;0.039104974087615825;-6.96885599931765
2.6;0.00416708904684818;-6.991720445217246
2.605;-0.030666814979351604;-6.927372178964826
2.61;-0.06496320186439572;-6.777002490976899
2.615;-0.09829717273250446;-6.542868228767539
2.62;-0.13025770645553408;-6.228260489793393
2.625;-0.16045273351759;-5.837458011489619
